Key,en,es,ar
appLOnboardSubTitle,Buy and Sales 100+ Cryptocurrencies with 20+ flat currencies market using bank transfers or your credit/debit card in your exchange type bitcoin established token area.,Compre y venda más de 100 criptomonedas con más de 20 mercados de monedas planas mediante transferencias bancarias o su tarjeta de crédito/débito en su área de token establecida con bitcoin de tipo de cambio.,قم بشراء وبيع أكثر من 100 عملة مشفرة مع أكثر من 20 سوق عملات ثابتة باستخدام التحويلات المصرفية أو بطاقة الائتمان/الخصم الخاصة بك في منطقة الرمز المميز الخاصة بالبيتكوين.
appLSwipeToGetStarted,Swipe to Get Started,Desliza para comenzar,اسحب للبدء
appLSignInSubtitle,Please input your email and password and Sign In to your account to get access to your dashboard.,Ingrese su correo electrónico y contraseña e inicie sesión en su cuenta para obtener acceso a su panel de control.,يرجى إدخال البريد الإلكتروني وكلمة المرور وتسجيل الدخول إلى حسابك لتتمكن من الوصول إلى لوحة التحكم الخاصة بك.
appLEnterEmailAddress,Enter Email Address,Introducir la dirección de correo electrónico,أدخل عنوان البريد الالكتروني
appLEnterPassword,Enter Password,Introducir la contraseña,أدخل كلمة المرور
appLForgotPassword,Forgot Password?,¿Has olvidado tu contraseña?,هل نسيت كلمة السر؟
appLEnterYourEmailToResetPassword,Please enter your registered email address for reset your password.,Ingrese su dirección de correo electrónico registrada para restablecer su contraseña.,الرجاء إدخال عنوان بريدك الإلكتروني المسجل لإعادة تعيين كلمة المرور الخاصة بك.
appLForgotPasswordSecondary,Forgot Password,Has olvidado tu contraseña,هل نسيت كلمة السر
appLDoNotHaveAnAccount,Don’t have an account?,¿No tienes una cuenta?,ليس لديك حساب؟
appLEnterVerificationCodeTextOne,Enter the otp verification code. Which one did we send to,Ingrese el código de verificación otp. ¿A cuál le enviamos?,أدخل رمز التحقق OTP. إلى أي جهة أرسلنا؟
appLEnterVerificationCodeTextTwo,to reset your account.,para restablecer su cuenta.,لإعادة ضبط حسابك.
appLDidNotGetCode,Did not get any OTP code?,¿No recibiste ningún código OTP?,لم تحصل على أي رمز OTP؟
appLEnterNewPassword,Enter New Password,Ingrese nueva clave,أدخل كلمة المرور الجديدة
appLEnterConfirmPassword,Enter Confirm Password,Ingrese Confirmar Contraseña,أدخل تأكيد كلمة المرور
appLResetPasswordCongratulationSubtitle,Your password has been reset successfully. Sign In again now.,Su contraseña se ha restablecido correctamente. Inicie sesión nuevamente ahora.,تم إعادة تعيين كلمة المرور الخاصة بك بنجاح. قم بتسجيل الدخول مرة أخرى الآن.
appLSignInNow,Sign In Now,Regístrate,قم بتسجيل دخولك الآن
appLGoToHome,Go To Home,Ir a casa,اذهب إلى المنزل
appLBackToHome,Back To Home,De vuelta a casa,العودة إلى المنزل
appLSignUpSubtitle,Please input your details and register to your account to get access to your dashboard.,Ingrese sus datos y regístrese en su cuenta para obtener acceso a su panel de control.,يرجى إدخال التفاصيل الخاصة بك والتسجيل في حسابك للوصول إلى لوحة التحكم الخاصة بك.
appLEnterFirstName,Enter First Name,Introduzca el nombre,أدخل الاسم الأول
appLEnterLastName,Enter Last name,Introduzca el apellido,إدخال اسم آخر
appLIHaveAgreedWith,I have agreed with,he estado de acuerdo con,لقد اتفقت مع
appLTermsOfUse,Terms Of Use & Privacy Policy,Términos de uso y política de privacidad,شروط الاستخدام وسياسة الخصوصية
appLAlreadyHaveAnAccount,Already have an account?,¿Ya tienes una cuenta?,هل لديك حساب؟
appLEnterSignUpVerificationCodeTextTwo,to verified your account.,para verificar su cuenta.,للتحقق من حسابك.
appLSignUpCongratulationSubtitle,Your account has been verified successfully. Thanks for using AdCrypto.,Su cuenta ha sido verificada exitosamente. Gracias por usar AdCrypto.,لقد تم التحقق من حسابك بنجاح. شكرا لاستخدام AdCrypto.
appLUpdateProfile,Update Profile,Actualización del perfil,تحديث الملف
appLPhoneNumber,Phone Number,Número de teléfono,رقم التليفون
appLEnterCity,Enter City,Ingrese la ciudad,أدخل المدينة
appLEnterState,Enter State,Ingresar estado,إدخال الدولة
appLEnterAddress,Enter Address,Ingresa la direccion,أدخل العنوان
appLEnterZipCode,Enter ZipCode,Ingresa tu código postal,أدخل الرمز البريدي
appLBuyLog,Buy Log,Comprar registro,شراء السجل
appLSellLog,Sell Log,Vender registro,سجل البيع
appLWithdrawLog,Withdraw Log,Retirar registro,سجل السحب
appLExchangeLog,Exchange Log,Registro de intercambio,سجل التبادل
appLSettings,Settings,Ajustes,إعدادات
appLHelpCenter,Help Center,Centro de ayuda,مركز المساعدة
appLPrivacyAndPolicy,Privacy & Policy,Política de privacidad,سياسة الخصوصية
appLAboutUs,About Us,Sobre nosotros,معلومات عنا
appLSignOut,Sign Out,Desconectar,خروج
appLSignOutMessage,Do You Want To Sign Out From Your Account?,¿Quiere cerrar sesión en su cuenta?,هل تريد تسجيل الخروج من حسابك؟
appLBuy,Buy,Comprar,يشتري
appLSell,Sell,Vender,يبيع
appLWithdraw,Withdraw,Retirar,ينسحب
appLChangeLanguage,Change Language,Cambiar idioma,تغيير اللغة
appLDeleteAccount,Delete Account,Borrar cuenta,حذف الحساب
appLDeleteAccountMessage,Do You Want To Delete Account?,¿Quieres eliminar la cuenta?,هل تريد حذف الحساب؟
appLCancel,Cancel,Cancelar,يلغي
appLReject,Reject,Rechazar,يرفض
appLDelete,Delete,Borrar,يمسح
appLEnableTwoFASecurity,Enable 2FA Security,Habilite la seguridad 2FA,تمكين أمان 2FA
appLEnableTwoFASecuritySubtitle,We’ll ask for a verification code via your security method if we notice a sign in from an unrecognized device or browser. Enable your 2FA Security,Le solicitaremos un código de verificación a través de su método de seguridad si detectamos un inicio de sesión desde un dispositivo o navegador no reconocido. Habilite su seguridad 2FA,سنطلب رمز التحقق عبر طريقة الأمان الخاصة بك إذا لاحظنا تسجيل الدخول من جهاز أو متصفح غير معروف. قم بتمكين أمان 2FA الخاص بك
appLEnable,Enable,Permitir,يُمكَِن
appLTransactionType,Transaction Type,tipo de transacción,نوع المعاملة
appLSelectIDType,Select ID Type,Seleccione el tipo de identificación,حدد نوع الهوية
appLUpload,Upload,Subir,رفع
appLVerified,Verified,Verificado,تم التحقق
appLPending,Pending,Pendiente,قيد الانتظار
appLKycForm,KYC Form,Formulario KYC,نموذج اعرف عميلك (KYC).
appLViewAll,View All,Ver todo,عرض الكل
appLAllWallet,All Wallet,Toda la billetera,جميع المحفظة
appLAvailableNetwork,Available Network,Red disponible,الشبكة المتاحة
appLDisable,Disable,Desactivar,إبطال
appLNoDataFound,No transactions found. Keep monitoring wisely,No se encontraron transacciones. Siga monitoreando sabiamente,لم يتم العثور على أي معاملات. استمر في المراقبة بحكمة
top,top,arriba,قمة
Please verify your KYC information before any transactional action.,Please verify your KYC information before any transactional action.,Verifique su información KYC antes de cualquier acción transaccional.,يرجى التحقق من معلومات KYC الخاصة بك قبل أي إجراء معاملة.
Verify Now.,Verify Now.,Verifica ahora.,تحقق الآن.
appLFromGallery,From Gallery,De la galería,من المعرض
appLFromCamera,From Camera,Desde la cámara,من الكاميرا
appLKycVerification,Kyc Verification,Verificación de Kyc,التحقق من Kyc
appLFromFile,From File,Desde el archivo,من - الملف
All,All,Todo,الجميع
Outside Wallet Payment Receiving Address,Outside Wallet Payment Receiving Address,Dirección de recepción de pagos de billetera externa,عنوان استلام الدفع الخارجي للمحفظة
Prending Buy Crypto Logs,Prending Buy Crypto Logs,Pretendiendo comprar registros criptográficos,Prending شراء سجلات التشفير
Confirmed,Confirmed,Confirmado,مؤكد
Prending Sell Crypto Logs,Prending Sell Crypto Logs,Pretendiendo vender registros criptográficos,Prending بيع سجلات التشفير
Prending Withdraw Crypto Logs,Prending Withdraw Crypto Logs,Pretendiendo retirar registros criptográficos,Preding سحب سجلات التشفير
"Prending Exchange Crypto Logs","Prending Exchange Crypto Logs","Prender registros criptográficos de Exchange","Prending سجلات تشفير التبادل"
User Details,User Details,Detalles de usuario,بيانات المستخدم
Email Unverified Users,Email Unverified Users,Enviar correo electrónico a usuarios no verificados,إرسال بريد إلكتروني للمستخدمين الذين لم يتم التحقق منهم
KYC Unverified Users,KYC Unverified Users,Usuarios no verificados de KYC,KYC المستخدمين الذين لم يتم التحقق منهم
Details,Details,Detalles,تفاصيل
Admin Roles,Admin Roles,Funciones de administrador,أدوار المشرف
Permission Group,Permission Group,Grupo de permisos,مجموعة الأذونات
Web Version,Web Version,Versión Web,نسخة الويب
Seconds,Seconds,Segundos,ثواني
Encryption,Encryption,Cifrado,التشفير
Reply,Reply,Responder,رد
Created At,Created At,Creado en,أنشئت في
Server Information,Server Information,información del servidor,معلومات الخادم
Pending Tickets,Pending Tickets,Entradas pendientes,التذاكر المعلقة
Solved Tickets,Solved Tickets,Entradas resueltas,تذاكر محلولة
All Tickets,All Tickets,Todas las entradas,جميع التذاكر
View All,View All,Ver todo,عرض الكل
Support Chat,Support Chat,Chat de soporte,دعم الدردشة
Mark as Solved,Mark as Solved,Marcar como resuelto,"وضع علامة ""محلول""."
Are you sure to mark as solved (Token:,Are you sure to mark as solved (Token:,¿Estás seguro de marcar como resuelto (Token:,"هل أنت متأكد من وضع علامة ""تم الحل"" (الرمز المميز:"
Because it's not reversible.,Because it's not reversible.,Porque no es reversible.,لأنه لا يمكن عكسه.
Support,Support,Apoyo,يدعم
Fullscreen,Fullscreen,Pantalla completa,تكبير الشاشة
Already Have An Account?,Already Have An Account?,¿Ya tienes una cuenta?,هل لديك حساب؟
Valid Address for transaction.,Valid Address for transaction.,Dirección válida para la transacción.,عنوان صالح للمعاملة.
Proof Of Identity,Proof Of Identity,Prueba de identidad,إثبات الهوية
Successfully Added.,Successfully Added.,Agregado exitosamente.,أضيف بنجاح.
Wallet,Wallet,Billetera,محفظة
